,Productno,Product,Presentprice,Pastprice,Offer,Rating
161, 162, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 37,900 INR", 10% off,4.7
162, 163, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
163, 164, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
164, 165, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
165, 166, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Spa...," 41,990 INR"," 44,900 INR", 6% off,4.7
166, 167, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
167, 168, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
168, 169, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
169, 170, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Sil...," 44,900 INR", one INR, None,4.7
170, 171, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Sp...," 54,900 INR"," 58,900 INR", 6% off,4.7
171, 172, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
172, 173, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
173, 174, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
174, 175, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
175, 176, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
176, 177, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
177, 178, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
178, 179, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
179, 180, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
180, 181, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
181, 182, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
